Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2012,S08000029,,75plus years,,Females,,Coronary Heart Disease,173,,975.582247786613,,950.587106565956
2012,S08000030,,0-44 years,,Males,,Coronary Heart Disease,7,,6.40099489749264,,7.615717675344871
2012,S08000030,,0-44 years,,Females,,Coronary Heart Disease,2,,1.82910657289447,,1.9220917450422024
2012,S08000030,,45-64 years,,Males,,Coronary Heart Disease,59,,107.039187227866,,107.02979387728342
2012,S08000030,,45-64 years,,Females,,Coronary Heart Disease,13,,22.5870906089827,,22.537543719614742
2012,S08000030,,65-74 years,,Males,,Coronary Heart Disease,78,,388.330180225032,,400.5036933553513
2012,S08000030,,65-74 years,,Females,,Coronary Heart Disease,43,,191.12810027558,,196.91924822076123
2012,S08000030,,75plus years,,Males,,Coronary Heart Disease,210,,1396.83384328855,,1560.745203017027
2012,S08000030,,75plus years,,Females,,Coronary Heart Disease,217,,954.013892552537,,906.7676116335624
2012,S08000031,,0-44 years,,Males,,Coronary Heart Disease,24,,7.37123376025062,,7.802352726004147
2012,S08000031,,0-44 years,,Females,,Coronary Heart Disease,9,,2.74009304138149,,2.822106975928579
2012,S08000031,,45-64 years,,Males,,Coronary Heart Disease,218,,150.127401694098,,155.5150740623252
2012,S08000031,,45-64 years,,Females,,Coronary Heart Disease,60,,38.5311909991138,,40.05405580177709
2012,S08000031,,65-74 years,,Males,,Coronary Heart Disease,219,,491.119483315393,,505.10130569148816
2012,S08000031,,65-74 years,,Females,,Coronary Heart Disease,119,,227.969348659004,,229.36616094098375
2012,S08000031,,75plus years,,Males,,Coronary Heart Disease,451,,1427.12486551484,,1536.394752248162
2012,S08000031,,75plus years,,Females,,Coronary Heart Disease,519,,961.966192170818,,944.016147107966
2012,S08000032,,0-44 years,,Males,,Coronary Heart Disease,17,,9.43113606355476,,9.288235619963537
2012,S08000032,,0-44 years,,Females,,Coronary Heart Disease,4,,2.19681242517108,,2.1849681890595583
2012,S08000032,,45-64 years,,Males,,Coronary Heart Disease,137,,155.089657670712,,158.4406988968582
2012,S08000032,,45-64 years,,Females,,Coronary Heart Disease,27,,28.6542073927855,,29.984282035012672
2012,S08000032,,65-74 years,,Males,,Coronary Heart Disease,154,,547.613967712112,,557.9351717468697
2012,S08000032,,65-74 years,,Females,,Coronary Heart Disease,70,,214.901912627022,,218.5401319924456
2012,S08000032,,75plus years,,Males,,Coronary Heart Disease,261,,1462.43066061523,,1604.221837493962
2012,S08000032,,75plus years,,Females,,Coronary Heart Disease,274,,952.08311616109,,965.3919196325156
